,current_combo,valid_train_start_date, valid_train_end_date,valid_end_date,oos_square
1940,"(17, 1, 10, 10, 'mi')",2004-01-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,0.4697986577181208
1941,"(17, 1, 10, 10, 'mi')",2005-05-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,-0.0017035775127767216
1942,"(17, 1, 10, 10, 'mi')",2006-09-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,-0.15087719298245617
1943,"(17, 1, 10, 10, 'mi')",2008-01-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,-0.36445242369838415
1944,"(17, 1, 10, 10, 'mi')",2010-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,-0.2846153846153847
1945,"(17, 1, 10, 10, '')",2004-01-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,0.4563758389261745
1946,"(17, 1, 10, 10, '')",2005-05-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,-0.3356047700170357
1947,"(17, 1, 10, 10, '')",2006-09-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,-0.34736842105263155
1948,"(17, 1, 10, 10, '')",2008-01-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,-0.41472172351885095
1949,"(17, 1, 10, 10, '')",2010-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,-0.46153846153846145
1950,"(17, 1, 15, 10, 'mi')",2004-01-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,-0.6323529411764706
1951,"(17, 1, 15, 10, 'mi')",2004-05-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,0.1086556169429097
1952,"(17, 1, 15, 10, 'mi')",2004-09-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,-0.1131725417439704
1953,"(17, 1, 15, 10, 'mi')",2005-01-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,0.046904315196998114
1954,"(17, 1, 15, 10, 'mi')",2005-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,-0.03076923076923066
1955,"(17, 1, 15, 10, '')",2004-01-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,-0.5514705882352942
1956,"(17, 1, 15, 10, '')",2004-05-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,0.4622467771639043
1957,"(17, 1, 15, 10, '')",2004-09-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,-0.15027829313543606
1958,"(17, 1, 15, 10, '')",2005-01-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,-0.2532833020637899
1959,"(17, 1, 15, 10, '')",2005-12-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,-0.06153846153846154
1960,"(16, 1, 10, 10, 'mi')",2005-02-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,0.19458544839255498
1961,"(16, 1, 10, 10, 'mi')",2006-04-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,-0.09217391304347822
1962,"(16, 1, 10, 10, 'mi')",2007-06-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,0.10160427807486627
1963,"(16, 1, 10, 10, 'mi')",2008-08-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,-0.181159420289855
1964,"(16, 1, 10, 10, 'mi')",2011-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.18461538461538463
1965,"(16, 1, 10, 10, '')",2005-02-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,0.032148900169204686
1966,"(16, 1, 10, 10, '')",2006-04-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,-0.3078260869565217
1967,"(16, 1, 10, 10, '')",2007-06-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,0.0017825311942959443
1968,"(16, 1, 10, 10, '')",2008-08-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,-0.24637681159420288
1969,"(16, 1, 10, 10, '')",2011-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,0.007692307692307665
1970,"(16, 1, 15, 10, 'mi')",2005-02-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,-1.744360902255639
1971,"(16, 1, 15, 10, 'mi')",2005-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,-1.2523540489642184
1972,"(16, 1, 15, 10, 'mi')",2005-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,-0.8064516129032258
1973,"(16, 1, 15, 10, 'mi')",2005-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,-0.6425855513307985
1974,"(16, 1, 15, 10, 'mi')",2006-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.0923076923076922
1975,"(16, 1, 15, 10, '')",2005-02-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,-1.7142857142857144
1976,"(16, 1, 15, 10, '')",2005-04-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,-1.1167608286252353
1977,"(16, 1, 15, 10, '')",2005-06-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,-0.7760910815939279
1978,"(16, 1, 15, 10, '')",2005-08-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,-0.7566539923954372
1979,"(16, 1, 15, 10, '')",2006-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.0923076923076922
1980,"(17, 1, 10, 10, 'mi')",2004-02-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,0.3959731543624161
1981,"(17, 1, 10, 10, 'mi')",2005-06-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,-0.2402044293015333
1982,"(17, 1, 10, 10, 'mi')",2006-10-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,-0.1348511383537654
1983,"(17, 1, 10, 10, 'mi')",2008-02-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,-0.5035971223021583
1984,"(17, 1, 10, 10, 'mi')",2011-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,-0.15384615384615374
1985,"(17, 1, 10, 10, '')",2004-02-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,0.36241610738255037
1986,"(17, 1, 10, 10, '')",2005-06-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,-0.131175468483816
1987,"(17, 1, 10, 10, '')",2006-10-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,-0.008756567425569184
1988,"(17, 1, 10, 10, '')",2008-02-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,-0.3453237410071943
1989,"(17, 1, 10, 10, '')",2011-01-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,0.007692307692307665
